"","PLOT_ID","Source","Lat","Lon","Slope","gr_mean","Biom_mean","RS","PWQ","PH","SOC","Basal","CV","Age","Biome","Sink"
"1107","Plot1107","Can",52.37,-115.35,-1.68,0.314,0.13,65.51,308,5.300000191,37.66,0.0033,0.26,86.24,"Boreal",0.184
"1108","Plot1108","Can",52.37,-115.37,-1.51,0.312,0.161,66.72,309,5.900000095,39,0.0042,0.24,86.67,"Boreal",0.151
"1109","Plot1109","Can",52.37,-115.37,-1.35,0.287,0.147,66.72,309,5.900000095,39,0.0041,0.22,86.67,"Boreal",0.14
"1110","Plot1110","Can",52.37,-115.37,-1.18,0.291,0.222,66.72,309,5.900000095,39,0.004,0.23,86.67,"Boreal",0.069
"1111","Plot1111","Can",52.37,-115.37,-1.52,0.334,0.156,66.72,309,5.900000095,39,0.0044,0.22,86.67,"Boreal",0.178
"1112","Plot1112","Can",52.36,-115.39,-1.54,0.273,0.138,66.99,307,5.900000095,37.26,0.0036,0.22,88.05,"Boreal",0.135
"1113","Plot1113","Can",52.36,-115.39,-1.24,0.237,0.139,66.99,307,5.900000095,37.26,0.0039,0.23,88.05,"Boreal",0.098
"1114","Plot1114","Can",52.36,-115.39,-1.33,0.215,0.123,66.99,307,5.900000095,37.26,0.0035,0.23,88.05,"Boreal",0.092
"1115","Plot1115","Can",52.36,-115.39,-1.24,0.202,0.132,66.99,307,5.900000095,37.26,0.0031,0.26,88.05,"Boreal",0.07
"1116","Plot1116","Can",52.36,-115.39,-0.98,0.189,0.182,67.5,307,5.900000095,34.97,0.0031,0.24,89.49,"Boreal",0.00700000000000001
"1117","Plot1117","Can",52.36,-115.39,-1.05,0.22,0.182,67.5,307,5.900000095,34.97,0.0035,0.22,89.49,"Boreal",0.038
"1118","Plot1118","Can",52.36,-115.39,-1.23,0.231,0.161,67.5,307,5.900000095,34.97,0.0039,0.23,89.49,"Boreal",0.07
"1119","Plot1119","Can",52.36,-115.39,-1.15,0.194,0.134,67.5,307,5.900000095,34.97,0.0031,0.25,89.49,"Boreal",0.06
"1120","Plot1120","Can",52.37,-115.41,-1.5,0.285,0.151,68.21,304,5.900000095,41.33,0.0041,0.19,84.7,"Boreal",0.134
"1121","Plot1121","Can",52.37,-115.41,-2.04,0.328,0.142,68.21,304,5.900000095,41.33,0.0037,0.18,84.7,"Boreal",0.186
"1122","Plot1122","Can",49.54,-85.82,-0.57,0.234,0.324,29.13,268,5.099999905,43.69,0.0033,0.35,100,"Temperate",-0.09
"1123","Plot1123","Can",49.54,-85.82,-1.15,0.215,0.194,29.13,268,5.099999905,43.69,0.0026,0.38,93,"Temperate",0.021
"1124","Plot1124","Can",49.63,-86.17,-1.45,0.407,0.25,28.42,258,4,47.36,0.0042,0.78,179,"Temperate",0.157
"1125","Plot1125","Can",49.6,-86.13,-1.23,0.32,0.27,28.56,259,4,45.45,0.0032,0.85,179,"Temperate",0.05
"1126","Plot1126","Can",49.54,-85.86,-2.08,0.156,0.044,28.66,266,5.099999905,54.85,0.0028,0.47,89.33,"Temperate",0.112
"1127","Plot1127","Can",49.5,-85.79,-0.5,0.177,0.34,28.92,270,5.099999905,44.39,0.003,0.44,147.33,"Temperate",-0.163
"1128","Plot1128","Can",49.5,-85.79,-0.88,0.213,0.27,28.92,270,5.099999905,44.39,0.0025,0.67,181.33,"Temperate",-0.057
"1129","Plot1129","Can",49.5,-85.78,-1.21,0.248,0.286,28.75,268,5.099999905,44.66,0.0026,0.61,133.33,"Temperate",-0.038
"1130","Plot1130","Can",49.5,-85.79,-0.24,0.169,0.322,28.92,270,5.099999905,44.39,0.0029,0.41,142.33,"Temperate",-0.153
"1131","Plot1131","Can",49.51,-85.78,-0.27,0.143,0.249,28.98,269,5.099999905,42.48,0.0035,0.4,128.33,"Temperate",-0.106
"1132","Plot1132","Can",49.51,-85.78,-1.17,0.173,0.12,28.98,269,5.099999905,42.48,0.004,0.39,125.33,"Temperate",0.053
"1133","Plot1133","Can",49.51,-85.77,-0.65,0.169,0.31,28.82,269,5.099999905,41.11,0.0039,0.3,133.33,"Temperate",-0.141
"1134","Plot1134","Can",49.17,-86.23,-1.38,0.231,0.134,27.04,263,6.400000095,56.52,0.0043,0.26,102.2,"Temperate",0.097
"1135","Plot1135","Can",49.17,-86.23,-1.18,0.179,0.148,27.04,263,6.400000095,56.52,0.0036,0.26,100.2,"Temperate",0.031
"1136","Plot1136","Can",49.17,-86.23,-0.86,0.222,0.283,27.04,263,6.400000095,56.52,0.0036,0.28,97.2,"Temperate",-0.061
"1137","Plot1137","Can",49.17,-86.23,-1.27,0.182,0.117,27.04,263,6.400000095,56.52,0.0038,0.24,104.2,"Temperate",0.065
"1138","Plot1138","Can",49.17,-86.24,-1.93,0.317,0.138,27,262,6.400000095,54.56,0.0041,0.52,96.2,"Temperate",0.179
"1139","Plot1139","Can",49.48,-85.56,-3.23,0.195,0.169,28.02,270,5.099999905,55.53,0.0019,0.48,74.6,"Temperate",0.026
"1140","Plot1140","Can",49.48,-85.56,-1.31,0.22,0.233,28.02,270,5.099999905,55.53,0.0024,0.61,78.6,"Temperate",-0.013
"1141","Plot1141","Can",49.48,-85.56,-0.79,0.174,0.227,28.02,270,5.099999905,55.53,0.0025,0.37,75.2,"Temperate",-0.053
"1142","Plot1142","Can",49.47,-85.55,-1.18,0.378,0.418,27.67,268,5.099999905,NA,0.0039,0.5,77.6,"Temperate",-0.04
"1143","Plot1143","Can",49.47,-85.55,-0.9,0.354,0.445,27.67,268,5.099999905,NA,0.0038,0.36,74.6,"Temperate",-0.091
"1144","Plot1144","Can",49.47,-85.56,-1.41,0.54,0.543,27.75,268,5.099999905,NA,0.0042,0.46,66.4,"Temperate",-0.003
"1145","Plot1145","Can",49.46,-85.56,-1.45,0.521,0.552,28.09,269,5.099999905,51.16,0.0032,0.54,62.4,"Temperate",-0.031
"1146","Plot1146","Can",49.47,-85.55,-1.02,0.369,0.488,27.67,268,5.099999905,NA,0.0042,0.46,82.6,"Temperate",-0.119
"1147","Plot1147","Can",49.48,-85.55,-1.18,0.415,0.243,27.96,269,5.099999905,50.86,0.0046,0.44,62.2,"Temperate",0.172
"1148","Plot1148","Can",49.51,-85.44,-1.32,0.167,0.101,27.07,269,5.099999905,52.51,0.0033,0.46,126.2,"Temperate",0.066
"1149","Plot1149","Can",49.52,-85.42,-1.58,0.507,0.325,27.49,269,5.099999905,52.09,0.0037,0.52,56,"Temperate",0.182
"1150","Plot1150","Can",49.52,-85.42,-2.03,0.455,0.172,27.49,269,5.099999905,52.09,0.0032,0.56,56,"Temperate",0.283
"1151","Plot1151","Can",49.51,-85.44,-1.11,0.146,0.129,27.07,269,5.099999905,52.51,0.0034,0.51,125.2,"Temperate",0.017
"1152","Plot1152","Can",49.51,-85.44,-1.12,0.117,0.083,27.07,269,5.099999905,52.51,0.0032,0.48,116.2,"Temperate",0.034
"1153","Plot1153","Can",49.45,-85.29,-1.22,0.305,0.236,27.01,266,5.099999905,44.1,0.0037,0.45,89.2,"Temperate",0.069
"1154","Plot1154","Can",49.45,-85.29,-1.35,0.379,0.249,27.01,266,5.099999905,44.1,0.0044,0.61,90.2,"Temperate",0.13
"1155","Plot1155","Can",49.45,-85.29,-1.5,0.25,0.134,27.01,266,5.099999905,44.1,0.0034,0.42,90.2,"Temperate",0.116
"1156","Plot1156","Can",49.46,-85.3,-1.47,0.271,0.157,27.17,266,5.099999905,53.63,0.0039,0.32,92.2,"Temperate",0.114
"1157","Plot1157","Can",49.46,-85.3,-1.47,0.218,0.133,27.17,266,5.099999905,53.63,0.0034,0.47,90.2,"Temperate",0.085
"1158","Plot1158","Can",49.46,-85.3,-1.16,0.266,0.206,27.17,266,5.099999905,53.63,0.0031,0.45,80.2,"Temperate",0.06
"1159","Plot1159","Can",49.45,-85.31,-1.43,0.227,0.105,27.34,267,5.099999905,48.69,0.0038,0.53,91.2,"Temperate",0.122
"1160","Plot1160","Can",49.45,-85.31,-1.06,0.239,0.201,27.34,267,5.099999905,48.69,0.0044,0.39,88.2,"Temperate",0.038
"1161","Plot1161","Can",49.45,-85.31,-1.18,0.297,0.218,27.34,267,5.099999905,48.69,0.0043,0.3,83.2,"Temperate",0.079
"1162","Plot1162","Can",49.46,-85.3,-1.1,0.293,0.241,27.17,266,5.099999905,53.63,0.0037,0.44,85.2,"Temperate",0.052
